Wed Sep 25 00:15:57 2024    fastapi_profile.prof

         7522 function calls (7395 primitive calls) in 144.338 seconds

   Ordered by: cumulative time
   List reduced from 467 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000  144.338  144.338 {built-in method builtins.exec}
        1    0.000    0.000  144.338  144.338 <string>:1(<module>)
        1    0.000    0.000  144.338  144.338 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/main.py:461(run)
        1    0.000    0.000  144.334  144.334 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/basereload.py:50(run)
       28    0.000    0.000  143.979    5.142 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/basereload.py:70(__next__)
       28    0.000    0.000  143.979    5.142 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/watchfilesreload.py:81(should_restart)
       30    0.000    0.000  136.893    4.563 {built-in method builtins.next}
       28    0.009    0.000  136.893    4.889 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/watchfiles/main.py:52(watch)
       28  136.861    4.888  136.877    4.888 {method 'watch' of 'builtins.RustNotify' objects}
       28    0.000    0.000    7.083    0.253 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/basereload.py:63(pause)
       28    0.001    0.000    7.083    0.253 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/threading.py:563(wait)
       28    0.001    0.000    7.081    0.253 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/threading.py:280(wait)
      113    7.080    0.063    7.080    0.063 {method 'acquire' of '_thread.lock' objects}
        1    0.001    0.001    0.304    0.304 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/basereload.py:99(shutdown)
        1    0.000    0.000    0.298    0.298 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/multiprocessing/process.py:142(join)
        1    0.000    0.000    0.298    0.298 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/multiprocessing/popen_fork.py:36(wait)
        1    0.000    0.000    0.298    0.298 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/multiprocessing/popen_fork.py:24(poll)
        1    0.298    0.298    0.298    0.298 {built-in method posix.waitpid}
        1    0.000    0.000    0.051    0.051 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/site-packages/uvicorn/supervisors/basereload.py:73(startup)
        1    0.000    0.000    0.050    0.050 /Users/josesilva/opt/anaconda3/envs/oxaala/lib/python3.9/multiprocessing/process.py:110(start)


